"","personId","disp.sunshine","disp.keebler","disp.nabisco","disp.private","feat.sunshine","feat.keebler","feat.nabisco","feat.private","price.sunshine","price.keebler","price.nabisco","price.private","choice","lastChoice","personChoiceId","choiceId"
"33",3,1,0,0,1,0,0,0,1,0.88999999,1.04,0.99000001,0.5,"private","private",3,33
"34",3,0,0,0,0,0,0,0,0,0.98000002,1.09,0.88999999,0.69,"private","private",4,34
"35",3,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.88999999,"private","private",5,35
"36",3,0,0,0,0,0,0,0,0,0.97000003,1.15,0.99000001,0.61000001,"nabisco","private",6,36
"37",3,0,0,1,0,0,0,0,0,0.97000003,1.25,1.09,0.61000001,"nabisco","nabisco",7,37
"38",3,0,0,0,0,0,1,0,0,0.97000003,0.99000001,1.25,0.61000001,"nabisco","nabisco",8,38
"39",3,0,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.88999999,"private","nabisco",9,39
"40",3,0,1,1,0,0,0,0,0,1.03,1.09,1.09,0.61000001,"nabisco","private",10,40
"41",3,0,0,0,0,0,0,0,0,1.09,1.29,1.25,0.61000001,"nabisco","nabisco",11,41
"42",3,0,0,0,0,0,0,0,0,1.05,1.29,1.25,0.61000001,"nabisco","nabisco",12,42
"43",3,0,0,0,1,0,0,0,1,0.93000001,1.1900001,0.98000002,0.68000001,"private","nabisco",13,43
"44",4,0,0,0,0,0,0,0,0,0.99000001,1.09,0.94999999,0.55000001,"private","private",1,44
"45",4,0,0,0,0,0,0,0,0,0.99000001,1.09,0.99000001,0.55000001,"private","private",2,45
"46",4,0,0,1,0,0,0,0,0,0.88999999,0.99000001,1.13,0.69,"private","private",3,46
"47",4,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.55000001,"private","private",4,47
"48",4,0,0,0,0,0,0,0,0,0.79000002,1.05,1.09,0.55000001,"private","private",5,48
"49",4,0,0,0,0,0,0,0,0,1.03,1.09,1.1900001,0.55000001,"private","private",6,49
"50",4,0,0,0,0,0,0,0,0,0.99000001,1.1900001,0.99000001,0.55000001,"private","private",7,50
"51",4,0,0,0,0,0,0,0,0,1.09,1.1900001,0.99000001,0.55000001,"private","private",8,51
"52",4,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.55000001,"private","private",9,52
"53",4,0,0,0,0,0,0,0,0,0.98000002,1.1900001,0.99000001,0.55000001,"private","private",10,53
"54",4,0,0,0,0,0,0,0,0,0.98000002,1.1900001,0.99000001,0.55000001,"private","private",11,54
"55",4,0,0,1,0,0,0,0,0,0.98000002,1.21,1.1900001,0.55000001,"private","private",12,55
"56",4,0,0,0,0,0,0,0,0,0.98000002,1.21,1.1900001,0.55000001,"private","private",13,56
"57",4,0,0,0,0,0,0,0,0,0.98000002,1.21,1.1900001,0.55000001,"private","private",14,57
"58",4,0,0,1,0,0,0,0,0,0.98000002,1.1900001,1.29,0.55000001,"private","private",15,58
"59",4,0,0,0,0,0,0,0,0,0.98000002,1.1900001,1.29,0.55000001,"private","private",16,59
"60",4,0,0,0,0,0,0,0,0,0.98000002,1.21,1.09,0.55000001,"private","private",17,60
"61",4,0,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.55000001,"private","private",18,61
"62",4,0,0,1,0,0,0,0,0,1.09,1.09,1.09,0.58999997,"private","private",19,62
"63",4,0,0,1,0,0,0,0,0,1.09,1.21,1.29,0.58999997,"private","private",20,63
"64",4,0,0,0,0,0,0,0,0,1.09,1.21,1.09,0.58999997,"private","private",21,64
"65",4,0,0,1,0,0,0,0,0,0.88999999,1.21,0.99000001,0.58999997,"private","private",22,65
"66",4,0,1,1,0,0,0,0,0,1.09,1.09,1.29,0.58999997,"private","private",23,66
"67",4,0,0,0,0,0,0,0,0,1.1900001,1.29,1.29,0.88999999,"private","private",24,67
"68",4,0,0,1,0,0,0,0,0,0.94999999,1.25,0.99000001,0.58999997,"private","private",25,68
"69",4,0,0,1,0,0,0,0,0,0.94999999,1.1900001,1.29,0.58999997,"private","private",26,69
"70",4,0,0,0,0,0,0,0,0,0.94999999,1.04,0.99000001,0.58999997,"private","private",27,70
"71",4,0,0,0,0,0,0,0,0,0.94999999,1.04,1.23,0.58999997,"private","private",28,71
"72",5,1,0,0,0,0,0,0,0,0.88999999,1.08,0.88999999,0.68000001,"nabisco","keebler",1,72
"73",5,0,0,0,0,0,0,0,0,0.98000002,1.09,0.88999999,0.77999997,"nabisco","nabisco",2,73
"74",5,0,0,0,0,0,0,0,0,0.99000001,1.09,1.1900001,0.70999998,"keebler","nabisco",3,74
"75",5,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.83999997,"nabisco","keebler",4,75
"76",5,0,0,0,0,0,1,0,0,1.09,0.99000001,1.26,0.68000001,"keebler","nabisco",5,76
"77",5,0,0,1,0,0,0,0,0,0.88,1.25,1.09,0.64999998,"keebler","keebler",6,77
"78",5,0,1,0,0,0,0,0,0,0.97000003,0.99000001,1.25,0.61000001,"keebler","keebler",7,78
"79",5,0,0,0,0,0,1,1,0,1.04,1.09,1.09,0.68000001,"keebler","keebler",8,79
"80",5,0,0,0,0,0,0,0,0,0.97000003,1.25,1.25,0.64999998,"keebler","keebler",9,80
"81",5,0,0,0,0,0,0,0,0,1.09,1.21,1.09,0.83999997,"nabisco","keebler",10,81
"82",5,0,0,1,1,0,0,0,0,1.05,1.25,1.29,0.64999998,"keebler","nabisco",11,82
"83",5,0,0,1,0,0,0,0,0,1.05,1.25,0.99000001,0.61000001,"keebler","keebler",12,83
"84",5,0,0,0,0,0,0,1,0,1.05,0.99000001,0.99000001,0.64999998,"keebler","keebler",13,84
"85",6,1,0,0,0,0,0,0,0,0.85000002,0.98000002,0.88999999,0.68000001,"nabisco","private",1,85
"86",6,0,0,1,0,0,0,0,0,0.99000001,1.09,0.99000001,0.55000001,"private","nabisco",2,86
"87",6,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.55000001,"private","private",3,87
"88",6,0,0,0,0,0,0,0,0,1.03,1.09,0.76999998,0.77999997,"nabisco","private",4,88
"89",6,0,0,0,0,0,0,0,0,0.79000002,1.05,1.09,0.55000001,"private","nabisco",5,89
"90",6,0,0,0,0,0,0,0,0,0.98000002,1.09,0.88999999,0.55000001,"private","private",6,90
"91",6,0,0,0,0,0,0,0,0,0.88999999,1.02,1.15,0.64999998,"nabisco","private",7,91
"92",6,0,0,0,0,0,0,0,0,1.03,1.09,1.1900001,0.55000001,"private","nabisco",8,92
"93",6,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.55000001,"private","private",9,93
"94",6,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.55000001,"private","private",10,94
"95",6,1,0,0,0,0,0,0,0,0.88999999,1.15,0.99000001,0.60000002,"nabisco","private",11,95
"96",6,0,0,0,0,0,0,0,0,1.09,1.1900001,0.74000001,0.70999998,"nabisco","nabisco",12,96
"97",6,0,0,0,0,0,0,0,0,1.09,1.1900001,0.99000001,0.55000001,"private","nabisco",13,97
"98",6,0,0,0,0,0,0,0,0,0.98000002,1.1900001,0.99000001,0.55000001,"private","private",14,98
"99",6,0,0,0,0,0,0,0,0,0.98000002,1.1900001,0.99000001,0.55000001,"private","private",15,99
"100",6,0,0,0,0,0,0,0,0,0.98000002,1.09,1.29,0.55000001,"private","private",16,100
"101",6,0,0,1,0,0,0,0,0,0.98000002,1.21,1.1900001,0.55000001,"private","private",17,101
"102",6,0,0,1,0,0,0,0,0,0.98000002,1.1900001,1.29,0.55000001,"private","private",18,102
"103",6,0,0,0,0,0,0,0,0,0.98000002,1.1900001,1.29,0.55000001,"private","private",19,103
"104",6,0,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.55000001,"private","private",20,104
"105",6,0,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.55000001,"private","private",21,105
"106",6,0,0,1,0,0,0,0,0,1.09,1.21,1.29,0.58999997,"private","private",22,106
"107",6,0,0,1,0,0,0,0,0,0.88999999,1.21,0.99000001,0.58999997,"private","private",23,107
"108",6,0,1,1,0,0,0,0,0,1.09,1.09,1.29,0.58999997,"private","private",24,108
"109",6,0,0,1,0,0,0,0,0,0.94999999,1.1900001,1.29,0.58999997,"private","private",25,109
"110",6,0,0,0,0,0,0,0,0,1.09,1.22,1.29,0.58999997,"private","private",26,110
"111",6,0,0,0,0,0,0,0,0,1.29,1.04,1.23,0.58999997,"private","private",27,111
"112",7,0,1,1,0,0,1,0,0,0.88999999,0.88999999,0.99000001,0.61000001,"keebler","nabisco",1,112
"113",7,0,0,0,0,0,0,0,0,0.95999998,1.1900001,0.49000001,0.68000001,"nabisco","keebler",2,113
"114",7,1,0,1,0,0,0,0,1,0.79000002,1.25,1.0599999,0.49000001,"sunshine","nabisco",3,114
"115",7,0,0,1,0,0,0,1,0,0.93000001,0.99000001,0.98000002,0.57999998,"keebler","sunshine",4,115
"116",7,0,0,0,0,0,0,0,0,0.97000003,1.15,0.99000001,0.61000001,"nabisco","keebler",5,116
"117",7,0,0,0,0,0,1,0,0,1.09,1.1900001,1.15,0.73000002,"nabisco","nabisco",6,117
"118",7,0,0,0,0,0,0,0,0,1.09,1.35,1.29,0.79000002,"nabisco","nabisco",7,118
"119",7,0,0,0,0,0,0,0,0,1.05,1.29,1.25,0.61000001,"nabisco","nabisco",8,119
"120",7,0,0,1,0,0,0,0,0,1.09,1.21,0.99000001,0.83999997,"nabisco","nabisco",9,120
"121",7,0,0,0,0,0,0,0,0,1.1900001,1.29,1.29,0.88999999,"keebler","nabisco",10,121
"122",7,0,1,0,1,0,0,0,0,0.93000001,1.12,0.98000002,0.63,"nabisco","keebler",11,122
"123",7,0,0,0,0,0,0,0,0,1.1900001,1.29,1.29,0.88999999,"nabisco","nabisco",12,123
"124",7,0,1,0,0,0,0,0,0,1.09,1.21,0.58999997,0.81999999,"nabisco","nabisco",13,124
"125",7,0,1,0,0,0,0,0,0,1.09,1.21,0.58999997,0.81999999,"nabisco","nabisco",14,125
"126",7,0,1,1,1,0,1,0,0,1.05,0.99000001,1.25,0.61000001,"keebler","nabisco",15,126
"127",7,0,0,1,0,0,0,0,0,1.05,1.29,0.99000001,0.61000001,"nabisco","keebler",16,127
"128",8,0,0,1,0,0,0,0,0,0.99000001,1.09,0.99000001,0.70999998,"nabisco","nabisco",1,128
"129",8,0,0,0,0,0,0,0,0,0.79000002,1.09,1.09,0.77999997,"nabisco","nabisco",2,129
"130",8,1,0,0,0,0,0,0,0,0.99000001,1.09,0.88999999,0.77999997,"nabisco","nabisco",3,130
"131",8,0,0,0,0,0,0,0,0,0.79000002,1.05,0.99000001,0.77999997,"nabisco","nabisco",4,131
"132",8,0,0,0,0,0,0,0,0,0.98000002,1.05,1.09,0.77999997,"nabisco","nabisco",5,132
"133",8,0,0,0,0,0,0,0,0,0.98000002,1.09,0.88999999,0.77999997,"nabisco","nabisco",6,133
"134",8,0,0,0,0,0,0,0,0,0.88999999,1.15,0.88999999,0.79000002,"nabisco","nabisco",7,134
"135",8,0,0,0,0,0,0,0,0,1.03,1.09,1.1900001,0.63999999,"nabisco","nabisco",8,135
"136",8,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.63999999,"nabisco","nabisco",9,136
"137",8,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.77999997,"nabisco","nabisco",10,137
"138",8,0,0,0,0,0,0,0,0,0.98000002,1.1900001,0.99000001,0.77999997,"nabisco","nabisco",11,138
"139",8,0,0,0,0,0,0,0,0,0.98000002,1.1900001,0.99000001,0.77999997,"nabisco","nabisco",12,139
"140",8,0,0,0,0,0,0,0,0,0.98000002,1.09,1.29,0.77999997,"nabisco","nabisco",13,140
"141",8,0,0,1,1,0,0,0,0,0.98000002,1.21,1.1900001,0.63999999,"nabisco","nabisco",14,141
"142",8,0,0,0,1,0,0,0,0,0.98000002,1.21,1.1900001,0.63999999,"nabisco","nabisco",15,142
"143",8,0,0,0,0,0,0,0,0,0.98000002,1.1900001,1.29,0.77999997,"nabisco","nabisco",16,143
"144",8,0,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.77999997,"nabisco","nabisco",17,144
"145",8,0,0,1,0,0,0,0,0,0.79000002,1.21,1.09,0.88,"nabisco","nabisco",18,145
"146",8,0,0,1,0,0,0,0,0,1.09,1.21,1.29,0.79000002,"nabisco","nabisco",19,146
"147",8,0,0,1,0,0,0,0,0,1.09,1.09,1.09,0.95999998,"nabisco","nabisco",20,147
"148",8,0,0,1,0,0,0,0,0,1.09,1.21,1.29,0.93000001,"nabisco","nabisco",21,148
"149",8,0,0,0,0,0,0,0,0,1.09,1.21,1.09,0.86000001,"nabisco","nabisco",22,149
"150",8,0,1,1,0,0,1,0,0,0.88999999,1.09,1.29,0.95999998,"nabisco","nabisco",23,150
"151",8,0,0,0,0,0,0,0,0,0.94999999,1.25,0.99000001,0.81999999,"nabisco","nabisco",24,151
"152",8,0,0,1,1,0,0,0,0,1.29,1.04,1.29,0.95999998,"nabisco","nabisco",25,152
"153",9,1,0,0,0,0,0,0,0,0.49000001,1.09,1.09,0.77999997,"sunshine","sunshine",1,153
"154",9,0,0,0,0,0,0,0,0,1.03,1.09,1.1900001,0.63999999,"sunshine","sunshine",2,154
"155",9,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.77999997,"sunshine","sunshine",3,155
"156",9,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.83999997,"sunshine","sunshine",4,156
"157",9,0,0,1,0,0,0,0,0,1.09,1.09,1.29,0.88999999,"private","sunshine",5,157
"158",9,0,0,0,0,0,0,0,0,0.95999998,1.39,1.15,0.68000001,"nabisco","private",6,158
"159",9,0,0,0,0,0,0,0,0,0.79000002,1.21,1.1900001,0.63999999,"sunshine","nabisco",7,159
"160",9,1,0,1,0,1,0,0,0,0.79000002,1.21,1.09,0.77999997,"sunshine","sunshine",8,160
"161",9,1,0,1,0,0,0,0,0,0.79000002,1.21,1.09,0.88,"sunshine","sunshine",9,161
"162",9,1,0,1,0,0,0,0,0,0.79000002,1.21,1.09,0.88,"sunshine","sunshine",10,162
"163",9,0,0,1,0,0,0,0,0,1.09,1.21,1.29,0.79000002,"nabisco","sunshine",11,163
"164",9,0,0,0,0,0,0,0,0,1.09,1.21,1.09,0.83999997,"sunshine","nabisco",12,164
"165",9,0,0,0,0,0,0,1,0,0.88999999,1.21,0.99000001,0.86000001,"nabisco","sunshine",13,165
"166",9,1,0,0,0,0,0,0,0,0.88999999,1.21,0.99000001,0.86000001,"sunshine","nabisco",14,166
"167",9,0,1,0,0,0,0,0,0,1.09,1.09,1.29,0.95999998,"keebler","sunshine",15,167
"168",9,0,0,0,0,0,0,1,0,0.95999998,1.39,1.09,0.68000001,"nabisco","keebler",16,168
"169",9,0,0,0,0,0,0,0,0,1.09,1.09,1.29,0.79000002,"sunshine","nabisco",17,169
"170",9,0,0,0,0,0,0,0,0,1.29,1.04,1.29,0.95999998,"sunshine","sunshine",18,170
"171",10,1,0,1,0,0,0,0,0,0.98000002,0.99000001,0.99000001,0.70999998,"nabisco","nabisco",1,171
"172",10,0,0,1,0,0,0,0,0,0.99000001,1.09,0.88999999,0.70999998,"nabisco","nabisco",2,172
"173",10,0,0,0,0,0,0,0,0,0.99000001,1.09,0.99000001,0.70999998,"nabisco","nabisco",3,173
"174",10,1,0,0,0,0,0,0,0,0.49000001,1.09,1.09,0.77999997,"nabisco","nabisco",4,174
"175",10,1,0,0,0,0,0,0,0,0.49000001,1.09,1.09,0.77999997,"nabisco","nabisco",5,175
"176",10,1,0,0,0,0,0,0,0,0.58999997,1.09,0.88999999,0.77999997,"nabisco","nabisco",6,176
"177",10,1,0,0,0,0,0,0,0,0.79000002,1.09,0.88999999,0.77999997,"nabisco","nabisco",7,177
"178",10,1,0,0,0,0,0,0,0,0.79000002,1.05,1.09,0.77999997,"nabisco","nabisco",8,178
"179",10,1,0,0,0,0,0,0,0,0.79000002,1.09,0.88999999,0.77999997,"nabisco","nabisco",9,179
"180",10,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.77999997,"nabisco","nabisco",10,180
"181",10,0,0,0,0,0,0,0,0,1.03,1.09,1.1900001,0.63999999,"nabisco","nabisco",11,181
"182",10,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.63999999,"nabisco","nabisco",12,182
"183",10,0,0,0,0,0,0,0,0,0.99000001,1.09,1.1900001,0.70999998,"nabisco","nabisco",13,183
"184",10,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.83999997,"nabisco","nabisco",14,184
"185",10,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.77999997,"nabisco","nabisco",15,185
"186",10,0,0,0,0,0,0,0,0,0.88999999,1.1900001,0.99000001,0.77999997,"nabisco","nabisco",16,186
"187",10,0,0,0,1,0,0,1,0,1.09,1.21,1.1900001,0.69,"private","nabisco",17,187
"188",10,0,0,0,1,0,0,1,1,0.97000003,1.15,1.09,0.56999999,"nabisco","private",18,188
"189",10,0,0,0,0,0,0,0,0,0.79000002,1.21,1.1900001,0.63999999,"nabisco","nabisco",19,189
"190",10,1,0,0,1,0,0,0,0,0.79000002,1.1900001,1.29,0.77999997,"nabisco","nabisco",20,190
"191",10,0,0,1,0,0,0,0,0,1.09,1.1900001,1.29,0.88999999,"private","nabisco",21,191
"192",10,0,0,1,0,0,0,0,0,1.09,1.21,1.09,0.77999997,"nabisco","private",22,192
"193",10,1,0,1,0,1,0,0,0,0.79000002,1.21,0.83999997,0.77999997,"nabisco","nabisco",23,193
"194",10,0,0,0,0,0,0,1,0,0.97000003,1.25,1.09,0.60000002,"nabisco","nabisco",24,194
"195",10,1,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.77999997,"nabisco","nabisco",25,195
"196",10,1,0,0,0,0,0,0,0,0.79000002,1.21,1.09,0.88,"nabisco","nabisco",26,196
"197",10,1,0,1,0,0,0,0,0,0.79000002,1.21,1.09,0.88,"nabisco","nabisco",27,197
"198",10,0,0,1,0,0,0,0,0,1.09,1.21,1.09,0.79000002,"nabisco","nabisco",28,198
"199",10,0,0,1,0,0,0,0,0,1.09,1.21,1.29,0.79000002,"nabisco","nabisco",29,199
"200",10,0,0,0,0,0,0,0,0,0.97000003,1.25,1,0.64999998,"nabisco","nabisco",30,200
"201",10,0,0,0,0,0,0,0,0,1.09,1.21,1.09,0.92000002,"nabisco","nabisco",31,201
"202",10,0,0,0,0,0,0,0,0,1.05,1.25,0.99000001,0.64999998,"nabisco","nabisco",32,202
"203",10,0,0,1,0,0,0,0,0,1.05,1.25,0.99000001,0.64999998,"nabisco","nabisco",33,203
"204",10,0,0,0,0,0,0,0,0,1.09,1.21,0.99000001,0.86000001,"nabisco","nabisco",34,204
"205",10,0,0,1,0,0,0,0,0,0.94999999,1.25,0.99000001,0.81999999,"nabisco","nabisco",35,205
"206",10,0,0,0,0,0,0,0,0,1.05,1.29,1.29,0.58999997,"nabisco","nabisco",36,206
"207",10,0,0,1,0,0,0,0,0,1.05,1.29,0.99000001,0.58999997,"nabisco","nabisco",37,207
"208",10,0,0,1,0,0,0,0,0,1.05,1.29,0.99000001,0.58999997,"nabisco","nabisco",38,208
"209",10,0,0,0,0,0,0,0,0,0.94999999,1.04,0.99000001,0.72000003,"nabisco","nabisco",39,209
"210",10,0,0,0,0,0,0,0,0,1.29,1.04,1.29,0.95999998,"nabisco","nabisco",40,210
"211",11,0,0,1,1,0,0,0,1,0.88999999,0.99000001,0.88999999,0.5,"nabisco","nabisco",1,211
"212",11,0,1,1,0,0,1,0,0,0.88999999,0.88999999,0.99000001,0.61000001,"nabisco","nabisco",2,212
"213",11,0,0,0,1,0,0,0,1,0.88999999,0.99000001,0.88999999,0.5,"nabisco","nabisco",3,213
"214",11,0,0,1,0,0,0,1,0,0.88999999,0.99000001,0.88999999,0.64999998,"nabisco","nabisco",4,214
"215",11,0,0,1,0,0,0,0,0,0.88999999,0.99000001,0.88999999,0.64999998,"nabisco","nabisco",5,215
"216",11,0,0,0,0,0,0,0,0,0.88999999,0.99000001,1.05,0.64999998,"nabisco","nabisco",6,216
"217",11,0,0,0,0,0,0,1,0,0.88999999,1.05,0.88999999,0.64999998,"nabisco","nabisco",7,217
"218",11,0,0,1,0,0,0,0,0,0.88999999,1.02,1.05,0.64999998,"nabisco","nabisco",8,218
"219",11,0,0,1,0,0,0,1,0,0.88999999,1.02,0.88999999,0.49000001,"nabisco","nabisco",9,219
"220",11,1,1,0,0,1,1,0,0,0.88,0.99000001,1.15,0.64999998,"keebler","nabisco",10,220
"221",11,0,0,1,0,0,0,0,0,1.09,1.09,1.29,0.77999997,"nabisco","keebler",11,221
"222",11,0,0,1,0,0,0,0,0,0.88,1.15,1.09,0.64999998,"nabisco","nabisco",12,222
"223",11,0,0,0,0,0,0,0,0,0.88,0.99000001,1.25,0.64999998,"keebler","nabisco",13,223
"224",11,0,0,1,0,0,0,0,0,0.88,1.25,0.74000001,0.64999998,"nabisco","keebler",14,224
"225",11,1,0,1,0,0,0,0,0,0.79000002,1.21,1.09,0.77999997,"nabisco","nabisco",15,225
"226",11,0,0,0,0,0,0,0,0,0.97000003,1.25,1.25,0.64999998,"nabisco","nabisco",16,226
"227",11,0,0,0,0,0,0,1,0,0.97000003,1.25,1.09,0.64999998,"nabisco","nabisco",17,227
"228",11,0,0,1,0,0,0,1,0,0.97000003,1.17,1.09,0.64999998,"nabisco","nabisco",18,228
"229",11,0,0,1,0,0,0,0,0,1.05,1.25,0.99000001,0.64999998,"nabisco","nabisco",19,229
"230",11,0,0,1,1,0,0,1,0,1.05,1.25,0.99000001,0.64999998,"nabisco","nabisco",20,230
"231",11,0,0,1,1,0,0,0,0,1.05,1.17,1.29,0.58999997,"private","nabisco",21,231
"232",11,0,0,1,0,0,0,0,0,0.94999999,1.25,0.99000001,0.58999997,"private","private",22,232
"233",11,0,0,1,0,0,0,0,0,1.05,1.17,0.99000001,0.64999998,"nabisco","private",23,233
"234",11,0,0,1,0,0,0,0,0,1.05,0.99000001,0.99000001,0.64999998,"nabisco","nabisco",24,234
"235",11,0,0,0,1,0,0,0,1,1.24,1.05,0.98000002,0.38,"private","nabisco",25,235
"236",12,0,0,1,0,0,0,0,0,0.99000001,0.99000001,1.09,0.55000001,"private","private",1,236
"237",12,1,0,0,0,1,0,0,0,0.49000001,1.09,1.09,0.55000001,"private","private",2,237
"238",12,1,0,0,0,0,0,0,0,0.58999997,1.09,0.88999999,0.55000001,"private","private",3,238
"239",12,1,0,0,0,0,0,0,0,0.99000001,1.05,1.09,0.55000001,"private","private",4,239
"240",12,1,0,0,0,0,0,0,0,0.79000002,1.05,1.09,0.55000001,"private","private",5,240
"241",12,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.55000001,"private","private",6,241
"242",12,0,0,0,0,0,0,0,0,1.03,1.09,0.88999999,0.55000001,"private","private",7,242
"243",12,0,0,0,0,0,0,0,0,1.03,1.09,1.1900001,0.55000001,"private","private",8,243
"244",12,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.55000001,"private","private",9,244
"245",12,0,0,0,0,0,0,0,0,1.09,1.09,1.1900001,0.55000001,"private","private",10,245
"246",12,0,0,0,0,0,0,0,0,0.99000001,1.09,1.1900001,0.55000001,"private","private",11,246
"247",12,0,0,0,0,0,0,0,0,1.09,1.1900001,0.99000001,0.55000001,"private","private",12,247
"248",12,0,0,0,0,0,0,0,0,0.88999999,1.09,1.1900001,0.55000001,"private","private",13,248
"249",12,0,0,1,0,0,0,0,0,1.09,1.09,1.29,0.55000001,"private","private",14,249
"250",12,0,0,0,0,0,0,0,0,1.09,1.09,1.29,0.55000001,"private","private",15,250
"251",12,0,0,0,0,0,0,1,0,1.09,1.21,1.1900001,0.55000001,"private","private",16,251
"252",12,1,0,0,0,0,0,0,0,0.79000002,1.21,1.1900001,0.55000001,"private","private",17,252
"253",12,0,0,0,0,0,0,0,0,0.79000002,1.21,1.1900001,0.55000001,"private","private",18,253
