youtube;facebook;newspaper;sales
284,88;33,00;13,20;22,68
260,16;52,68;32,64;26,76
238,92;36,72;46,44;21,96
131,76;17,16;38,04;14,88
32,16;39,60;23,16;10,56
155,28;6,84;37,56;13,20
256,08;29,52;15,72;20,40
20,28;52,44;107,28;10,44
33,00;1,92;24,84;8,28
144,60;34,20;17,04;17,04
6,48;35,88;11,28;6,36
139,20;9,24;27,72;13,20
91,68;32,04;26,76;14,16
287,76;4,92;44,28;14,76
90,36;24,36;39,00;13,56
82,08;53,40;42,72;16,32
256,20;51,60;40,56;26,04
231,84;22,08;78,84;18,24
91,56;33,00;19,20;14,40
132,84;48,72;75,84;19,20
105,96;30,60;88,08;15,48
131,76;57,36;61,68;20,04
161,16;5,88;11,16;13,44
34,32;1,80;39,60;8,76
261,24;40,20;70,80;23,28
301,08;43,80;86,76;26,64
128,88;16,80;13,08;13,80
195,96;37,92;63,48;20,28
237,12;4,20;7,08;14,04
221,88;25,20;26,40;18,60
347,64;50,76;61,44;30,48
162,24;50,04;55,08;20,64
266,88;5,16;59,76;14,04
355,68;43,56;121,08;28,56
336,24;12,12;25,68;17,76
225,48;20,64;21,48;17,64
285,84;41,16;6,36;24,84
165,48;55,68;70,80;23,04
30,00;13,20;35,64;8,64
108,48;0,36;27,84;10,44
15,72;0,48;30,72;6,36
306,48;32,28;6,60;23,76
270,96;9,84;67,80;16,08
290,04;45,60;27,84;26,16
210,84;18,48;2,88;16,92
251,52;24,72;12,84;19,08
93,84;56,16;41,40;17,52
90,12;42,00;63,24;15,12
167,04;17,16;30,72;14,64
91,68;0,96;17,76;11,28
150,84;44,28;95,04;19,08
23,28;19,20;26,76;7,92
169,56;32,16;55,44;18,60
22,56;26,04;60,48;8,40
268,80;2,88;18,72;13,92
147,72;41,52;14,88;18,24
275,40;38,76;89,04;23,64
104,64;14,16;31,08;12,72
9,36;46,68;60,72;7,92
96,24;0,00;11,04;10,56
264,36;58,80;3,84;29,64
71,52;14,40;51,72;11,64
0,84;47,52;10,44;1,92
318,24;3,48;51,60;15,24
10,08;32,64;2,52;6,84
263,76;40,20;54,12;23,52
44,28;46,32;78,72;12,96
57,96;56,40;10,20;13,92
30,72;46,80;11,16;11,40
328,44;34,68;71,64;24,96
51,60;31,08;24,60;11,52
221,88;52,68;2,04;24,84
88,08;20,40;15,48;13,08
232,44;42,48;90,72;23,04
264,60;39,84;45,48;24,12
125,52;6,84;41,28;12,48
115,44;17,76;46,68;13,68
168,36;2,28;10,80;12,36
288,12;8,76;10,44;15,84
291,84;58,80;53,16;30,48
45,60;48,36;14,28;13,08
53,64;30,96;24,72;12,12
336,84;16,68;44,40;19,32
145,20;10,08;58,44;13,92
237,12;27,96;17,04;19,92
205,56;47,64;45,24;22,80
225,36;25,32;11,40;18,72
4,92;13,92;6,84;3,84
112,68;52,20;60,60;18,36
179,76;1,56;29,16;12,12
14,04;44,28;54,24;8,76
158,04;22,08;41,52;15,48
207,00;21,72;36,84;17,28
102,84;42,96;59,16;15,96
226,08;21,72;30,72;17,88
196,20;44,16;8,88;21,60
140,64;17,64;6,48;14,28
281,40;4,08;101,76;14,28
21,48;45,12;25,92;9,60
248,16;6,24;23,28;14,64
258,48;28,32;69,12;20,52
341,16;12,72;7,68;18,00
60,00;13,92;22,08;10,08
197,40;25,08;56,88;17,40
23,52;24,12;20,40;9,12
202,08;8,52;15,36;14,04
266,88;4,08;15,72;13,80
332,28;58,68;50,16;32,40
298,08;36,24;24,36;24,24
204,24;9,36;42,24;14,04
332,04;2,76;28,44;14,16
198,72;12,00;21,12;15,12
187,92;3,12;9,96;12,60
262,20;6,48;32,88;14,64
67,44;6,84;35,64;10,44
345,12;51,60;86,16;31,44
304,56;25,56;36,00;21,12
246,00;54,12;23,52;27,12
167,40;2,52;31,92;12,36
229,32;34,44;21,84;20,76
343,20;16,68;4,44;19,08
22,44;14,52;28,08;8,04
47,40;49,32;6,96;12,96
90,60;12,96;7,20;11,88
20,64;4,92;37,92;7,08
200,16;50,40;4,32;23,52
179,64;42,72;7,20;20,76
45,84;4,44;16,56;9,12
113,04;5,88;9,72;11,64
212,40;11,16;7,68;15,36
340,32;50,40;79,44;30,60
278,52;10,32;10,44;16,08
